cluster,target_sensor,target_sensor_id,cluster_size,num_mates_visible,total_visible,avg_mse_intra,std_mse_intra,avg_acc_intra,std_acc_intra,avg_1mse_intra,avg_mse_inter,std_mse_inter,avg_acc_inter,std_acc_inter,avg_1mse_inter,mse_reduction_pct,acc_delta
Cluster_2,S12,12,4,3,18,0.019464507533703,0.06906785991009523,0.9887547224154696,0.01231288759751046,0.980535492466297,0.010898630302399397,0.027707108539348112,0.9876521237334237,0.009155018282925418,0.9891013696976007,-78.59589882096274,0.0011025986820458744
Cluster_2,S30,30,4,3,18,0.6454302418231964,0.17802017795494776,0.9998413353954675,2.2234892053723953e-05,0.3545697581768036,0.7501262646913528,0.24805673528907726,0.9998295706704085,2.9220132478934244e-05,0.2498737353086472,13.957119975216898,1.1764725059038028e-05
Cluster_2,S52,52,4,3,18,0.04705620218068361,0.05929326537030726,0.9628358120471239,0.01595994659925472,0.9529437978193164,0.03803825885057449,0.04639397891494293,0.9668481430411339,0.011682337641829582,0.9619617411494255,-23.707560139539147,-0.004012330994009994
Cluster_3,S15,15,4,3,18,0.035183278061449524,0.007587906031619388,0.9988743905595038,0.00011294844228252858,0.9648167219385505,0.12752130262553693,0.06553419321437036,0.9978512562299148,0.0006224905034982117,0.872478697374463,72.40988128166856,0.0010231343295890039
Cluster_3,S31,31,4,3,18,0.04183255344629288,0.008502867456807197,0.9987045227969066,0.00014328541348628703,0.9581674465537071,0.10488322265446186,0.06712538708542792,0.9979795017838478,0.0006797158014885325,0.8951167773455382,60.115113753453684,0.0007250210130588242
Cluster_3,S49,49,4,3,18,0.005938318581320346,0.0014488487235575405,0.9904741952382028,0.0012575819255704118,0.9940616814186797,0.005705198892392218,0.001742863321280529,0.9906773170083761,0.0015808785680513679,0.9942948011076078,-4.086091518703639,-0.00020312177017334232
Cluster_3,S57,57,4,3,18,0.025312425876036285,0.0685185977055131,0.9859795681852848,0.012808916377572845,0.9746875741239637,0.003959638208034449,0.005798229561373398,0.9917663496965542,0.004347302698392051,0.9960403617919655,-539.2609413674658,-0.005786781511269434
Cluster_4,S1,1,6,5,18,0.019458308429457248,0.010830006726802838,0.9913424807274714,0.002239233492217332,0.9805416915705427,0.03255694268271327,0.037796220607193474,0.9895643965061754,0.004411676391192901,0.9674430573172867,40.232997239882174,0.0017780842212959946
Cluster_4,S10,10,6,5,18,0.0044292921340093015,0.00795165604458107,0.9907621691701933,0.0046617973988401454,0.9955707078659907,0.0038622459885664286,0.005292271969824178,0.9905005078809336,0.004865166710837377,0.9961377540114336,-14.681768077534226,0.0002616612892597514
Cluster_4,S21,21,6,5,18,0.006051414897665381,0.003628536788321581,0.9239946281164885,0.018915123117462823,0.9939485851023346,0.03970008336473256,0.13504166886710556,0.8753841215372086,0.1517477324256673,0.9602999166352675,84.75717118868107,0.0486105065792799
