support,itemsets
0.3742857142857143,"['S7', 'S55']"
0.42428571428571427,"['S56', 'S7']"
0.4085714285714286,"['S57', 'S7']"
0.44285714285714284,"['S58', 'S7']"
0.32571428571428573,"['S59', 'S7']"
0.42714285714285716,"['S9', 'S8']"
0.4228571428571429,"['S10', 'S8']"
0.44571428571428573,"['S11', 'S8']"
0.44285714285714284,"['S12', 'S8']"
0.43142857142857144,"['S13', 'S8']"
0.39714285714285713,"['S14', 'S8']"
0.37714285714285717,"['S15', 'S8']"
0.3057142857142857,"['S8', 'S16']"
0.42428571428571427,"['S17', 'S8']"
0.4228571428571429,"['S18', 'S8']"
0.41714285714285715,"['S8', 'S21']"
0.42714285714285716,"['S22', 'S8']"
0.40285714285714286,"['S23', 'S8']"
0.39285714285714285,"['S24', 'S8']"
0.43142857142857144,"['S25', 'S8']"
0.30857142857142855,"['S8', 'S26']"
0.41,"['S28', 'S8']"
0.4,"['S31', 'S8']"
0.4014285714285714,"['S8', 'S32']"
0.39,"['S8', 'S33']"
0.32285714285714284,"['S34', 'S8']"
0.35,"['S35', 'S8']"
0.39714285714285713,"['S36', 'S8']"
0.42142857142857143,"['S37', 'S8']"
0.4057142857142857,"['S38', 'S8']"
0.44571428571428573,"['S39', 'S8']"
0.4114285714285714,"['S40', 'S8']"
0.41285714285714287,"['S8', 'S41']"
0.43714285714285717,"['S42', 'S8']"
0.41714285714285715,"['S8', 'S43']"
0.4014285714285714,"['S44', 'S8']"
0.4042857142857143,"['S45', 'S8']"
0.4142857142857143,"['S46', 'S8']"
0.43857142857142856,"['S47', 'S8']"
0.4014285714285714,"['S8', 'S48']"
0.4257142857142857,"['S8', 'S49']"
0.4185714285714286,"['S50', 'S8']"
0.4042857142857143,"['S8', 'S51']"
0.4157142857142857,"['S52', 'S8']"
0.4042857142857143,"['S53', 'S8']"
0.43142857142857144,"['S54', 'S8']"
0.41285714285714287,"['S8', 'S55']"
0.4185714285714286,"['S56', 'S8']"
0.4142857142857143,"['S57', 'S8']"
0.4542857142857143,"['S58', 'S8']"
0.33,"['S59', 'S8']"
0.4142857142857143,"['S9', 'S10']"
0.46,"['S9', 'S11']"
0.4357142857142857,"['S9', 'S12']"
0.44,"['S13', 'S9']"
0.4014285714285714,"['S14', 'S9']"
0.4014285714285714,"['S9', 'S15']"
0.44285714285714284,"['S17', 'S9']"
